yrmo,sell,superid,source,propertytype,propertyzipcode,age,size,popdensity,bbb,caprate,bbbdev,yrqtr,latitude,longitude,reis_sector,region_code,REIS_Market_ID,Submarket_Number,Market_Submarket_ID,effective_rent_per_uom_amt,vacancy_pct
202311,323,5520-5522 East Ponce de Leon Avenue,cmbs,IN,30083,56,20000,1147,0.06278,0.075651491,-0.143451277,20234,33.82595927,-84.19419684,,R2,AT,6,AT6,5.8,
200011,47,84766,cmbs,IN,90007,38,124698,6403.9,0.080422836,0.093306533,0.517424486,20004,34.01814401,-118.2740369,Ind,R3,LA,1,LA1,9.074416667,0.1066
20153,219,146641,cmbs,IN,89030,18,70598,2221,0.038409727,0.051296928,-0.056379125,20151,36.2302295,-115.1096932,Ind,R3,LV,2,LV2,7.773333333,0.138666667
200610,118,151739,cmbs,IN,55344,46,90300,611.1,0.060780152,0.073680886,-0.514922669,20064,44.8723205,-93.40128823,Ind,R5,MN,1,MN1,7.512777778,0.109855556
20058,104,104105,cmbs,IN,85027,24,14263,1020.1,0.054473385,0.067377368,-0.675885866,20053,33.69907186,-112.1028541,Ind,R3,PX,3,PX3,7.463052632,0.12486345
200612,120,166979,cmbs,IN,43137,24,766571,30.6,0.059779226,0.07269663,-0.548528735,20064,39.84129524,-82.95153841,Ind,R5,CO,4,CO4,8.269084967,0.109711438
201510,226,49079,cmbs,IN,21220,11,449299,701.9,0.043941369,0.056867402,0.228386124,20154,39.34564155,-76.40319353,Ind,R2,BA,3,BA3,4.99,0.094
201811,263,63221,cmbs,IN,48174,7,606000,296.8,0.048871342,0.061837204,-0.118904168,20184,42.18868256,-83.37760279,Ind,R5,DT,3,DT3,3.95,0.103
20243,327,4901 Southridge Boulevard,cmbs,IN,38141,35,200000,2878.636422,0.05582,0.068841579,-0.564240266,20241,35.01498855,-89.85331192,,R2,ME,3,ME3,3.88,
200612,120,153805,cmbs,IN,89103,40,92897,2911.1,0.059779226,0.072824941,-0.548528735,20064,36.10021291,-115.1975141,Ind,R3,LV,3,LV3,6.6,0.127555556
20196,270,279521,cmbs,IN,20147,8,148580,2721.445104,0.038038365,0.0511,-0.278361684,20192,39.0264161,-77.45090456,Ind,R2,SV,1,SV1,8.83,0.052
20058,104,147311,cmbs,IN,91748,68,223504,1211.8,0.054473385,0.067547793,-0.675885866,20053,34.00234,-117.8896,Ind,R3,LA,4,LA4,7.724333333,0.131316667
20185,257,252543,cmbs,IN,94607,69,15000,1636.8,0.04526033,0.05833715,-0.328569414,20182,37.7992364,-122.2807762,Ind,R3,OA,1,OA1,5.98,0.069
20012,50,56332,cmbs,IN,89120,25,53565,1292,0.07451051,0.087587684,0.547197181,20011,36.07430134,-115.098317,Ind,R3,LV,3,LV3,9.971666667,0.065
20182,254,247357,cmbs,IN,72404,27,659600,71.9,0.040542472,0.053625803,-0.641493654,20181,35.7951042,-90.61921305,Ind,R1,,,,7.364,0.0888
20248,332,600 EAST CHESTNUT STREET,cmbs,IN,44667,103,347024,0,0.05278,0.065901654,-0.527753012,20243,40.83874038,-81.75607051,,R5,,,,5.65,
20013,51,79970,cmbs,IN,92865,36,86494,1997.6,0.074331897,0.0874775,0.468535068,20011,33.81652623,-117.8552621,Ind,R3,OC,5,OC5,6.262222222,0.146333333
20013,51,74007,cmbs,IN,83702,36,101564,211.8,0.074331897,0.087498782,0.468535068,20011,43.569787,-116.192995,Ind,R3,BS,2,BS2,9.971666667,0.065
201810,262,259568,cmbs,IN,92570,20,199158,213.1,0.047854771,0.061061391,-0.210471977,20184,33.80912492,-117.2379119,Ind,R3,SB,3,SB3,5.08,0.051
201511,227,189704,cmbs,IN,46628,10,208361,282.9,0.044127285,0.057342882,0.277728396,20154,41.74503759,-86.33460215,Ind,R5,,,,6.202222222,0.113166667
20072,122,101938,cmbs,IN,97124,28,151000,432.3,0.06029868,0.07364945,-0.564745949,20071,45.5533827,-122.9122496,Ind,R3,PO,3,PO3,6.322222222,0.138
200610,118,216935,cmbs,IN,65340,40,191220,23.8,0.060780152,0.074134324,-0.514922669,20064,39.114478,-93.19492,Ind,R5,,,,8.604837607,0.106462821
20245,329,2626 South Hardy Drive,cmbs,IN,85282,57,50400,1681.9,0.05866,0.072022536,-0.586371987,20242,33.40051793,-111.9528881,,R3,PX,4,PX4,8.9,
201510,226,11802,cmbs,IN,30005,25,136238,915.8,0.043941369,0.057315773,0.228386124,20154,34.10174501,-84.21860396,Ind,R2,AT,8,AT8,3.33,0.124
201410,214,114457,cmbs,IN,91350,18,29411,759.8,0.040174196,0.053575185,-0.303629498,20144,34.40944672,-118.5073107,Ind,R3,LA,8,LA8,6.02,0.042
20191,265,273171,cmbs,IN,83221,8,21574,13,0.046952132,0.060364275,-0.011861734,20191,43.26300575,-112.3139712,Ind,R3,,,,11.005,0.141
20012,50,180489,cmbs,IN,92805,49,239012,4304.3,0.07451051,0.087927633,0.547197181,20011,33.80304,-117.89463,Ind,R3,OC,5,OC5,6.262222222,0.146333333
20191,265,273160,cmbs,IN,39571,7,300000,59.8,0.046952132,0.060375134,-0.011861734,20191,30.39856174,-89.31149483,Ind,R2,,,,8.45,0.097066667
201711,251,58905,cmbs,IN,7828,8,48300,383.1,0.036840237,0.050267209,-0.591273008,20174,40.8998102,-74.7238182,Ind,R4,NJ,13,NJ13,5.67,0.086
20222,302,22275 AND 22325 SOUTH SCOTLAND COURT,cmbs,IN,85142,4,33244,265.7,0.03404,0.047503167,-0.409129729,20221,33.2446578,-111.612356,,R3,PX,5,PX5,7.64,
200612,120,185068,cmbs,IN,97210,95,18200,557.5,0.059779226,0.073259,-0.548528735,20064,45.5393,-122.7003,Ind,R3,PO,3,PO3,7.937333333,0.1026
20221,301,304182,cmbs,IN,19804,18,101182,926.5,0.030557843,0.044045196,-0.555463776,20221,39.6728288,-75.5592099,Ind,R2,WL,,,7.04,0.062
200011,47,83917,cmbs,IN,94089,45,95000,1240.2,0.080422836,0.093942798,0.517424486,20004,37.41300337,-122.0165074,Ind,R3,SJ,2,SJ2,7.703333333,0.120466667
201912,276,293529,cmbs,IN,29611,58,405259,480.7,0.033076464,0.046604091,-0.383039938,20194,34.79570451,-82.42778442,Ind,R2,GN,,,3.76,0.129
20158,224,42050,cmbs,IN,11208,10,278721,10195.4,0.043668647,0.057202749,0.227652716,20153,40.65918233,-73.86888881,Ind,R4,NY,2,NY2,7.943333333,0.130333333
20162,230,183725,cmbs,IN,94607,60,73080,1636.8,0.0460191,0.059554863,0.783296306,20161,37.8005116,-122.2848661,Ind,R3,OA,1,OA1,5.09,0.083
201510,226,146235,cmbs,IN,75061,19,117000,1783.8,0.043941369,0.057489104,0.228386124,20154,32.82893077,-97.03130901,Ind,R1,DA,9,DA9,4.02,0.085
20238,320,221 LAW STREET,cmbs,IN,31792,58,235000,43.6,0.06019,0.073765903,-0.063626297,20233,30.83072889,-83.98950042,,R2,,,,6.41,
20184,256,255720,cmbs,IN,43062,9,856254,135.4,0.044252073,0.057830603,-0.421213242,20182,39.95352286,-82.71341196,Ind,R5,,,,6.524444444,0.131
20248,332,3100 EAST MORGAN WAY,cmbs,IN,53546,35,196098,143.2,0.05278,0.066375,-0.527753012,20243,42.73754799,-88.98241089,,R5,,,,5.65,
20187,259,263881,cmbs,IN,8854,51,30963,1149.4,0.044753354,0.05834973,-0.330577093,20183,40.54794411,-74.49268248,Ind,R4,CJ,5,CJ5,5.24,0.072
20242,326,3315 NORTHWEST 26TH AVENUE,cmbs,IN,97210,36,18700,557.5,0.05524,0.068866,-0.486637225,20241,45.54631976,-122.7064517,,R3,PO,3,PO3,7.6,
20006,42,107585,cmbs,IN,33431,51,16030,797,0.085302844,0.0989311,0.560925547,20002,26.373459,-80.086455,Ind,R2,PB,5,PB5,9.600333333,0.100938889
20248,332,7408-7424 Southwest 69th Street,cmbs,IN,73169,5,11610,268.1715576,0.05278,0.066413502,-0.527753012,20243,35.39542,-97.55999,,R1,OK,,,5.18,0.063
20145,209,215046,cmbs,IN,7410,67,104304,2441.6,0.040101118,0.0537378,-0.526632655,20142,40.94587153,-74.12613291,Ind,R4,NJ,5,NJ5,5.1,0.116
200611,119,156257,cmbs,IN,55429,28,92216,1659.1,0.060016437,0.073656889,-0.539519703,20064,45.0736504,-93.35445098,Ind,R5,MN,7,MN7,7.715430556,0.11675
20238,320,220940,cmbs,IN,53566,67,87241,38.1,0.060190981,0.07383392,-0.063626297,20233,42.5892237,-89.66281323,Ind,R5,,,,7.908888889,0.072111111
20248,332,485 Wenger Drive,cmbs,IN,17522,55,55198,287,0.05278,0.066446786,-0.527753012,20243,40.18923656,-76.1743834,,R4,,,,7.95,
20189,261,264594,cmbs,IN,60525,60,85000,954.8,0.04615756,0.059825588,-0.293768804,20183,41.79298623,-87.86075255,Ind,R5,CH,8,CH8,4.63,0.123
20139,201,108091,cmbs,IN,77041,45,439591,775.1,0.047804247,0.061474012,0.012854616,20133,29.83948879,-95.53292326,Ind,R1,HO,7,HO7,4.39,0.079
20248,332,1658 Dry Tavern Road,cmbs,IN,17517,25,98485,169.9,0.05278,0.066451391,-0.527753012,20243,40.22277202,-76.05978851,,R4,,,,7.95,
20057,103,100422,cmbs,IN,95054,52,14644,1439.8,0.054025451,0.067722095,-0.648102906,20053,37.37738362,-121.9678117,Ind,R3,SJ,3,SJ3,6.065555556,0.162333333
20179,249,239455,cmbs,IN,95363,10,1501387,82.7,0.036571539,0.050276567,-0.523181159,20173,37.4807173,-121.1797402,Ind,R3,,,,10.56083333,0.064166667
201511,227,8228,cmbs,IN,60563,37,85608,914.1,0.044127285,0.0578422,0.277728396,20154,41.79574599,-88.22937697,Ind,R5,CH,9,CH9,4.22,0.125
20065,113,269965,cmbs,IN,43551,41,737041,180.6,0.063641298,0.077365508,-0.682678275,20062,41.51946457,-83.53595877,Ind,R5,TO,6,TO6,8.104384615,0.115345299
200612,120,68118,cmbs,IN,89511,36,25358,64.8,0.059779226,0.07350375,-0.548528735,20064,39.47262723,-119.767972,Ind,R3,RE,4,RE4,7.837777778,0.070888889
20188,260,259520,cmbs,IN,6810,69,379829,922.3,0.044886348,0.058617149,-0.338399328,20183,41.393666,-73.451539,Ind,R4,FC,,,7.39,0.077
20012,50,203516,cmbs,IN,92032,49,18005,11031.22733,0.07451051,0.088246567,0.547197181,20011,32.8140486,-117.2183015,Ind,R3,SD,3,SD3,9.654166667,0.108916667
200611,119,179470,cmbs,IN,13212,54,210168,742,0.060016437,0.07375941,-0.539519703,20064,43.1754708,-76.11932569,Ind,R4,SY,,,8.604837607,0.106462821
20196,270,277751,cmbs,IN,91911,61,116834,2736.2,0.038038365,0.051787614,-0.278361684,20192,32.59943859,-117.0822624,Ind,R3,SD,6,SD6,8.22,0.089
200612,120,113198,cmbs,IN,85009,49,16800,1298.1,0.059779226,0.073535514,-0.548528735,20064,33.47902623,-112.1262684,Ind,R3,PX,7,PX7,7.703333333,0.120466667
20248,332,4120 HIGHWAY 411 NORTHEAST,cmbs,IN,30171,38,102697,0,0.05278,0.066549589,-0.527753012,20243,34.32755664,-84.71565336,,R2,AT,10,AT10,6.62,
20243,327,4800 Southridge Boulevard,cmbs,IN,38141,36,190000,2878.636422,0.05582,0.069593684,-0.564240266,20241,35.01774295,-89.85083325,,R2,ME,3,ME3,3.88,
202410,334,1165 Station Road,cmbs,IN,11763,20,42759,795.7,0.05246,0.066263934,-0.730627789,20244,40.80332954,-72.95094997,,R4,LI,3,LI3,9.97,
20133,195,127323,cmbs,IN,95407,17,116864,669.9,0.03685764,0.050668077,-0.171661893,20131,38.38913869,-122.7218361,Ind,R3,SR,1,SR1,6.604444444,0.130444444
200611,119,216894,cmbs,IN,55439,53,31180,707.5,0.060016437,0.073848358,-0.539519703,20064,44.87735022,-93.39844292,Ind,R5,MN,1,MN1,7.512777778,0.109855556
200610,118,152982,cmbs,IN,55406,55,164842,2478.8,0.060780152,0.074622706,-0.514922669,20064,44.95302681,-93.23213071,Ind,R5,MN,10,MN10,7.995,0.1255
20242,326,3617 WEST MACARTHUR,cmbs,IN,92704,51,17820,4529.9,0.05524,0.069102059,-0.486637225,20241,33.70374605,-117.9170953,,R3,OC,7,OC7,10.82,
20232,314,57784,cmbs,IN,50111,63,248257,342.2469621,0.055931057,0.0698,0.045828255,20231,41.65703072,-93.77791903,Ind,R5,DM,,,5.5,0.171
201812,264,276850,cmbs,IN,85043,45,87294,624.2,0.048452565,0.062327973,-0.046569762,20184,33.45317,-112.12709,Ind,R3,PX,1,PX1,5.5,0.14
201511,227,187213,cmbs,IN,87107,36,186150,814.4,0.044127285,0.05801392,0.277728396,20154,35.1312062,-106.6161195,Ind,R3,AQ,3,AQ3,9.743333333,0.106416667
20071,121,105599,cmbs,IN,32822,19,22082,1548.9,0.059951013,0.073872314,-0.551304077,20071,28.46050681,-81.29196557,Ind,R2,OR,2,OR2,8.941666667,0.1165
20157,223,8353,cmbs,IN,94558,38,37631,72.5,0.042285333,0.056217167,0.083244408,20153,38.25548108,-122.272361,Ind,R3,VJ,81,VJ81,8.905,0.1135
20176,246,57828,cmbs,IN,44117,85,1600000,1034.7,0.037259158,0.051223075,-0.412487539,20172,41.57839884,-81.52103142,Ind,R5,CL,6,CL6,4.03,0.092
201811,263,264605,cmbs,IN,30161,34,94672,95.5,0.048871342,0.062838837,-0.118904168,20184,34.17436346,-85.19896605,Ind,R2,,,,8.42,0.106416667
20245,329,920 Apollo Road,cmbs,IN,55121,28,168480,7861,0.05866,0.072631677,-0.586371987,20242,44.84231042,-93.13511543,,R5,MN,3,MN3,6.57,
20245,329,18803-18827 Hamish Road,cmbs,IN,77377,5,49800,283.7,0.05866,0.072644251,-0.586371987,20242,30.03923946,-95.62888593,,R1,HO,8,HO8,7.95,
20222,302,304892,cmbs,IN,78641,10,56761,135.3,0.034041829,0.048027042,-0.409129729,20221,30.5478461,-97.81660026,Ind,R1,AU,7,AU7,7.74,0.061
200611,119,100518,cmbs,IN,3060,42,101600,1733.9,0.060016437,0.074009731,-0.539519703,20064,42.75480822,-71.48786003,Ind,R4,,,,7.773333333,0.138666667
20202,278,278444,cmbs,IN,60103,17,60080,842.3,0.03333912,0.047362115,0.030381123,20201,41.9803319,-88.22154543,Ind,R5,CH,9,CH9,4.82,0.127
20158,224,8878,cmbs,IN,60502,17,294740,2091.108987,0.043668647,0.0577,0.227652716,20153,41.80537659,-88.28896042,Ind,R5,CH,10,CH10,4.18,0.124
20011,49,35266,cmbs,IN,95126,46,129368,3645.5,0.076110223,0.090149022,0.584060371,20011,37.34698016,-121.9298332,Ind,R3,SJ,3,SJ3,7.985587963,0.110308796
20248,332,3205 Davinion Road,cmbs,IN,73036,7,11600,101.4280104,0.05278,0.066871429,-0.527753012,20243,35.50296742,-97.85670384,,R1,OK,,,5.16,
20238,320,183 MONROE STREET,cmbs,IN,7055,85,24900,69816,0.06019,0.074286326,-0.063626297,20233,40.8666493,-74.121309,,R4,NJ,1,NJ1,7.41,
20018,56,78421,cmbs,IN,90059,38,313168,4771.9,0.071820688,0.085947484,0.275030319,20013,33.90235006,-118.3211216,Ind,R3,LA,11,LA11,6.124444444,0.154777778
20053,99,161411,cmbs,IN,14425,30,149657,221.5,0.052801519,0.066953973,-0.932183099,20051,42.9866495,-77.34141623,Ind,R4,RO,3,RO3,7.320622222,0.097671111
201511,227,9849,cmbs,IN,21076,39,128800,396.8,0.044127285,0.058312105,0.277728396,20154,39.16882972,-76.6999458,Ind,R2,BA,8,BA8,4.99,0.094
20221,301,304175,cmbs,IN,19804,29,235000,926.5,0.030557843,0.044756136,-0.555463776,20221,39.66865141,-75.55514119,Ind,R2,WL,,,7.04,0.062
20069,117,248051,cmbs,IN,32804,63,144889,911.4,0.061891936,0.076093378,-0.492519865,20063,28.56588038,-81.40612721,Ind,R2,OR,1,OR1,11.69666667,0.051666667
201710,250,243649,cmbs,IN,92503,52,317512,1090.6,0.036540318,0.0507506,-0.553083804,20174,33.89517199,-117.4942544,Ind,R3,SB,1,SB1,4.88,0.053
20057,103,145596,cmbs,IN,85210,65,100000,2138.5,0.054025451,0.068246833,-0.648102906,20053,33.41214607,-111.8411246,Ind,R3,PX,5,PX5,7.463052632,0.12486345
202210,310,3356 US HIGHWAY 42 EAST,cmbs,IN,41008,33,75469,66.2,0.05962,0.073858885,0.396826498,20224,38.69615606,-85.12794885,,R2,,,,6.08,
20049,93,131613,cmbs,IN,84062,23,79800,410.5,0.052107545,0.066354039,-0.866764565,20043,40.35629908,-111.7477875,Ind,R3,PR,2,PR2,8.86,0.112333333
20073,123,109872,cmbs,IN,80228,22,19241,1059.2,0.060699311,0.074946518,-0.594447856,20071,39.71059816,-105.1391889,Ind,R3,DE,5,DE5,7.67,0.1495
20123,183,40892,cmbs,IN,28092,29,272788,121.6,0.043454439,0.057714534,0.416475642,20121,35.54157526,-81.22259356,Ind,R2,,,,7.496666667,0.211
